Logistic_PCA50_cost20,Logistic_PCA50_cost25,Logistic_PCA100_cost20,BalancedRF_PCA50,SMOTE_Logistic_PCA50,true_label
4.942439718138379e-11,2.601892041663775e-11,0.00018951699121374276,0.305,1.48450316736012e-13,0
1.0,1.0,0.0,0.24,1.0,0
0.554575097822098,0.4620779063122679,2.360560453803272e-28,0.315,0.00031540500240244645,0
0.0066576809673055916,0.006205640024259032,3.271873035985686e-05,0.265,0.005426623841297093,0
8.584148978589902e-267,1.2920212860582568e-276,1.2845813284172827e-136,0.305,6.117944960092023e-273,0
0.4964839215809337,0.5401866192365272,1.0268032685432614e-06,0.46,0.4288287928617904,0
0.006534669585896489,0.005762967716757827,0.0052982390530699995,0.37,0.009180629597346652,0
0.03090810689170502,0.031013639669374208,0.059163730746574064,0.43,0.024248694076503645,1
0.6624592061629115,0.7005750153025355,0.7535888931202233,0.675,0.776652146704864,1
0.0,0.0,0.0,0.26,0.0,0
4.077086349116571e-25,2.722116994734574e-26,0.5991029076896801,0.23,3.311177074921046e-23,0
0.0,0.0,0.0,0.31,0.0,0
6.674512699366293e-05,4.9790900209406146e-05,2.3085800846631747e-05,0.275,1.6427102777612596e-05,0
0.9871806678819867,0.9912912232202602,0.9959775714913871,0.5,0.9934066350047976,0
0.03764353439622767,0.03547248290165523,0.04278752675027344,0.625,0.04604631391585018,0
4.645800270309094e-20,2.306578923678204e-20,0.0005666238469161382,0.325,2.751787435011687e-145,0
4.7063583230655916e-05,3.55856755711356e-05,4.146051270220547e-06,0.28,1.015310897410653e-06,0
0.0014731614247180229,0.001186695165539107,0.012986968168913631,0.45,0.0010075070436859927,0
0.0,0.0,0.0,0.225,0.0,0
0.09080881260226013,0.08588043734898239,0.0055249637442726495,0.49,0.15665481065943793,0
8.081352387325601e-05,6.20081694755749e-05,5.399656087381021e-09,0.44,0.01678788846156487,0
0.020371557439956906,0.0186360854778957,0.024285633483810846,0.37,0.05714936847872022,0
0.000641312393879151,0.0004891897103111767,0.998862894847635,0.47,0.00538637769287537,0
1.0,1.0,1.0,0.385,1.0,0
0.6454225280435,0.6761740999171898,0.932944398299083,0.45,0.7998573413841051,0
1.4063797929046397e-15,4.643441820135394e-16,1.92029722934224e-05,0.275,9.266169764215006e-13,0
0.00039227609886056947,0.00031234908320575496,0.0003193663355891805,0.365,0.0003135216497530249,0
6.170625232679567e-06,4.026014008151783e-06,2.0072919779694926e-06,0.245,2.951159872030647e-06,0
0.06190602113690352,0.05811895300806632,0.005629504906415811,0.51,0.05147450365762906,0
0.01163625579608291,0.010429666136673421,0.012237815789328059,0.44,0.05200186919132597,0
0.12025791931872505,0.12231489174910237,0.05401443073627275,0.595,0.16611204715999908,0
0.19654278212021503,0.20074636629531897,0.038777389151172535,0.49,0.2074078864934543,0
0.004198004934756301,0.0035911066433350247,0.0023901770022086927,0.4,0.0030556949256383744,0
0.0006174805920898816,0.0004707341117586798,0.0022932050893971017,0.325,0.00067596260826312,0
6.413120744847558e-06,4.03078928971514e-06,3.5944966079322205e-08,0.275,2.156295751798332e-06,0
0.0,0.0,0.0,0.305,0.0,0
0.030149895259020544,0.029762374902341904,0.034303786432885244,0.395,0.013053705842656438,0
0.284098753782948,0.299048829546297,0.17826300365012257,0.535,0.16564664218256686,0
0.7340233035982245,0.7626059614917581,0.2508195247949734,0.65,0.8788322490934208,0
0.028126418408114685,0.026831410505467952,0.009567049824250225,0.42,0.026925253532730325,0
0.006128621891714478,0.005221000912374589,0.001898108540418865,0.485,0.016282733695239953,0
0.03165228847973403,0.030491248463329672,0.00013770015404191793,0.37,0.002516502490820078,0
0.0036536563705211198,0.0031996924762946748,0.026906672285356134,0.33,0.0026166040094668165,0
0.029048074977376714,0.035242493659168386,0.9999993471015496,0.2,4.634226310686978e-22,0
0.00035052423961796393,0.00026087573702874114,0.00486594758788001,0.415,0.00020006743617949861,0
0.00607085112412972,0.0053877936232495545,0.0027638659355031813,0.505,0.0062646877214600685,0
0.00175531157791728,0.001443495994424993,0.0063122411430892875,0.35,0.0011428153544077613,0
0.09036198493814292,0.0899725972843499,0.08803579985069826,0.44,0.0817612262281702,0
0.19476252677776063,0.20790937744741025,0.012713703847603161,0.37,0.3429178190508762,0
0.059389205896811646,0.0580524172175714,0.17661935366413867,0.59,0.028947937024409894,0
2.646419485952083e-13,6.389875995397139e-14,3.2596559359408887e-09,0.375,1.1348960660773455e-13,0
0.03699481725212453,0.036996557930087194,0.04152512975203735,0.575,0.012351806543785105,1
0.4527590880698008,0.48692595826762114,0.19599855827813498,0.62,0.3585816133068513,1
6.799169547570745e-06,4.271222950333753e-06,0.00030376948273853937,0.385,1.289402756945619e-07,0
0.410321890317932,0.4369710534946201,0.11324400685552842,0.565,0.3048843080863437,0
0.0711734925628079,0.07107534219928814,0.08391208627332315,0.66,0.06950178487764491,0
0.0,0.0,1.0,0.32,1.0,0
0.041680108335420026,0.03958984098836108,0.09789085835540765,0.565,0.03656398260201221,0
0.00043996162598126546,0.0003252301631436761,7.2264487515705625e-06,0.395,0.008487764857992082,0
1.0,1.0,1.0688645316764112e-15,0.375,1.0,0
0.007138685870992612,0.006251513704802257,0.14659717493055868,0.495,0.019328144385490284,0
0.010131448678643904,0.008972918564697665,0.03037993458231106,0.4,0.009730142025746045,0
0.10796681348335166,0.11074217402922162,0.14192635461431816,0.52,0.2028973465069199,1
0.3242231389429374,0.3444577121981992,0.004226836690319692,0.48,0.1000593114682336,0
0.0013364464262101566,0.0011574461313030643,0.03455072099584698,0.38,0.0028260418619091656,0
0.08726399237034063,0.0880814639798694,0.05317062333768143,0.51,0.0647725885713619,0
0.19367238180926477,0.20073607296164186,0.020518292383871827,0.515,0.13242575018591943,0
0.14342840287119568,0.13828387289516753,0.3436513494872575,0.475,0.46774533687021674,0
0.0035264203882559913,0.0030768680613075306,0.0013049943511003186,0.475,0.0003756327237311274,0
0.0034780879980623033,0.003109054188802101,0.0003938755518943274,0.325,0.0014550282342665486,0
0.0021953401375675147,0.0018910876790147928,0.00013230451672587533,0.365,0.0005614564390978245,0
1.3048227458962238e-05,9.522670038710608e-06,9.521239104566592e-05,0.36,4.0491881894628116e-06,0
0.07701735789025323,0.07546840238855133,0.09523059380296439,0.54,0.11367616054201408,0
0.012662220468058502,0.011588471815127005,4.8135361640996906e-05,0.465,0.005435007038601189,0
0.053436963055379434,0.0526393754441023,0.003063422452460178,0.49,0.026400117345075275,0
0.002971429366054618,0.0024661230546638873,7.290573881964379e-05,0.385,0.0017415852907121912,0
0.05886087843569474,0.05808088067775049,0.008076175194630613,0.465,0.11918304476618419,0
0.03416599122974921,0.033142507705669705,0.0009602858418393897,0.38,0.005306107266785453,0
0.19044541600796303,0.20345181837549725,0.013749600157681926,0.47,0.07723908514574004,0
0.432886139180298,0.4634262400387091,0.34051385842363074,0.62,0.30154665856405843,0
0.003058054722469174,0.0026886553650235763,0.00017164615946245695,0.335,0.0026926895185512183,0
0.05554621610434574,0.05496023835921079,0.018226282965473378,0.42,0.031992936732496174,0
0.05584827317520058,0.05432389327325839,0.00010841537373511464,0.465,0.015484885843983786,0
0.009956116745688573,0.008957658999484258,0.0012371295055689398,0.455,0.003044148658122839,0
0.0981480755855622,0.10246740873370047,0.00011044230600860215,0.43,0.027973224445179575,0
